"利用日","利用店名・商品名","利用者","支払方法","利用金額","支払手数料","支払総額","支払月","11月支払金額","12月繰越残高","12月以降支払金額"
"2025/10/30","ローソンチケット","本人","1回払い","9790","0","9790","11月","9790","0",""
"2025/10/29","ＶＩＳＡ国内利用　VS ｶ)ﾏﾙｴﾂ","本人","1回払い","1507","0","1507","11月","1507","0",""
"2025/10/29","ＶＩＳＡ国内利用　VS ﾄｳｷﾖｳﾃﾞﾝﾘﾖｸﾃﾞﾝｷﾘﾖ","本人","1回払い","6018","0","6018","11月","6018","0",""
"2025/10/24","ＶＩＳＡ国内利用　VS APPLE COM BILL","本人","1回払い","580","0","580","11月","580","0",""
"2025/10/23","無印良品","本人","1回払い","1230","0","1230","11月","1230","0",""
"2025/10/23","ＶＩＳＡ国内利用　VS ｶ)ﾏﾙｴﾂ","本人","1回払い","1569","0","1569","11月","1569","0",""
"2025/10/23","ＪＣＢ国内利用　QP  ﾄﾞﾝ ｷﾎ-ﾃｼﾝｼﾞﾕｸﾒｲ","本人","1回払い","2049","0","2049","11月","2049","0",""
"2025/10/23","楽天キャッシュ　チャージ　        702869","本人","1回払い","5000","0","5000","11月","5000","0",""
"2025/10/20","ＶＩＳＡ国内利用　VS ｶ)ﾏﾙｴﾂ","本人","1回払い","1636","0","1636","11月","1636","0",""
"2025/10/20","ＶＩＳＡ国内利用　VS ﾄｳｴﾝﾃｲ-ﾌｵ-ｼﾞﾑ","本人","1回払い","2980","0","2980","11月","2980","0",""
"2025/10/17","ＶＩＳＡ国内利用　VS ｲｾﾀﾝ ｼﾝｼﾞｭｸﾎﾝﾃﾝ","本人","1回払い","34650","0","34650","11月","34650","0",""
"2025/10/17","ＪＣＢ国内利用　QP  ﾄﾞﾝ ｷﾎ-ﾃｼﾝｼﾞﾕｸﾒｲ","本人","1回払い","2589","0","2589","11月","2589","0",""
"2025/10/16","ＪＣＢ国内利用　QP  ﾗｲﾗｲﾃｲ ｻﾂﾃﾃﾝ","本人","1回払い","1640","0","1640","11月","1640","0",""
"2025/10/16","楽天証券投信積立０．５％～","本人","1回払い","10000","0","10000","11月","10000","0",""
"2025/10/15","ＶＩＳＡ国内利用　VS ｸﾗｽ","本人","1回払い","2530","0","2530","11月","2530","0",""
"2025/10/13","ＶＩＳＡ国内利用　VS ｶ)ﾏﾙｴﾂ","本人","1回払い","7113","0","7113","11月","7113","0",""
"2025/10/12","ＪＣＢ国内利用　QP  ﾄﾞﾝ ｷﾎ-ﾃｼﾝｼﾞﾕｸﾒｲ","本人","1回払い","330","0","330","11月","330","0",""
"2025/10/11","ＶＩＳＡ国内利用　VS REFRESHSOLARE","本人","1回払い","3300","0","3300","11月","3300","0",""
"2025/10/10","ＶＩＳＡ国内利用　VS ｶ)ﾏﾙｴﾂ","本人","1回払い","1210","0","1210","11月","1210","0",""
"2025/10/09","ソフトバンク（Ｂ）","本人","1回払い","3080","0","3080","11月","3080","0",""
"2025/10/06","ＶＩＳＡ海外利用　CLAUDE.AI SUBSCRIPTI","本人","1回払い","3064","0","3064","11月","3064","0",""
"2025/10/05","ＶＩＳＡ国内利用　VS ｶ)ﾏﾙｴﾂ","本人","1回払い","2034","0","2034","11月","2034","0",""
"2025/10/05","ＪＣＢ国内利用　QP  ﾄﾞﾝ ｷﾎ-ﾃｼﾝｼﾞﾕｸﾒｲ","本人","1回払い","3453","0","3453","11月","3453","0",""
"2025/10/04","ＶＩＳＡ国内利用　VS ｲｻｺﾞｻｶﾊﾞ ｱｶﾊﾞﾈﾃﾝ","本人","1回払い","4436","0","4436","11月","4436","0",""
"2025/10/03","Ｓｕｉｃａ（携帯決済）","本人","1回払い","6290","0","6290","11月","6290","0",""
"2025/10/01","ＪＣＢ国内利用　QP  ﾃｺﾞﾈﾔ ｼﾌﾞﾔﾃﾝ","本人","1回払い","6270","0","6270","11月","6270","0",""
"2025/09/30","楽天キャッシュ　チャージ　        709709","本人","1回払い","5000","0","5000","11月","5000","0",""
"2025/09/30","Ｓｕｉｃａチャージ（楽天ペイ）　        703632","本人","1回払い","3000","0","3000","11月","3000","0",""
"2025/09/30","オプテージ利用料金　3100900300483 00000","本人","1回払い","994","0","994","11月","994","0",""
